#src_id	dest_id	edge_type	number_common_taxa	percent_common_taxa
44	20	2	3	0
46	20	2	5	0
47	20	2	3	0
49	20	2	6	0
50	20	2	10	0
52	20	2	7	0
54	20	2	4	0
56	20	2	7	0
60	20	2	2	0
61	20	2	2	0
62	20	2	3	0
63	20	2	3	0
66	20	2	2	0
68	20	2	2	0
70	20	2	6	0
71	20	2	1	0
73	20	2	7	0
76	20	2	4	0
77	20	2	1	0
79	20	2	2	0
81	20	2	1	0
82	20	2	3	0
84	20	2	5	0
87	20	2	2	0
88	20	2	5	0
90	20	2	2	0
91	20	2	1	0
93	20	2	4	0
95	20	2	3	0
96	20	2	4	0
98	20	2	5	0
101	20	2	1	0
103	20	2	3	0
104	20	2	2	0
106	20	2	2	0
107	20	2	5	0
109	20	2	3	0
112	20	2	2	0
114	20	2	12	0
119	20	2	16	0
122	20	2	9	0
126	20	2	4	0
129	20	2	9	0
131	20	2	8	0
132	20	2	1	0
134	20	2	1	0
135	20	2	1	0
136	20	2	12	0
139	20	2	15	0
141	20	2	10	0
143	20	2	3	0
147	20	2	1	0
150	20	2	1	0
154	20	2	1	0
156	20	2	4	0
158	20	2	1	0
160	20	2	5	0
162	20	2	1	0
163	20	2	13	0
164	20	2	4	0
167	20	2	11	0
168	20	2	8	0
170	20	2	10	0
172	20	2	9	0
173	20	2	10	0
175	20	2	4	0
177	20	2	3	0
179	20	2	10	0
180	20	2	7	0
185	20	2	4	0
186	20	2	7	0
189	20	2	9	0
193	20	2	8	0
195	20	2	6	0
196	20	2	12	0
199	20	2	5	0
201	20	2	7	0
202	20	2	7	0
204	20	2	2	0
206	20	2	4	0
212	20	2	2	0
220	20	2	3	0
224	20	2	2	0
226	20	2	8	0
21	22	2	2	0
21	24	2	2	0
21	27	2	2	0
21	28	2	2	0
21	31	2	2	0
21	37	2	2	0
21	45	2	2	0
21	48	2	2	0
21	51	2	2	0
21	53	2	2	0
21	55	2	2	0
21	59	2	2	0
21	65	2	2	0
21	67	2	2	0
21	69	2	2	0
21	72	2	2	0
21	85	2	2	0
21	86	2	2	0
21	92	2	2	0
21	94	2	2	0
21	97	2	2	0
21	102	2	2	0
21	105	2	2	0
21	111	2	2	0
21	113	2	2	0
21	120	2	2	0
21	121	2	2	0
21	127	2	2	0
21	128	2	2	0
21	130	2	2	0
21	133	2	2	0
21	137	2	2	0
21	138	2	2	0
21	140	2	2	0
21	142	2	2	0
21	146	2	2	0
21	148	2	2	0
21	149	2	2	0
21	153	2	2	0
21	155	2	2	0
21	157	2	2	0
21	161	2	2	0
21	165	2	2	0
21	166	2	2	0
21	169	2	2	0
21	171	2	2	0
21	174	2	2	0
21	176	2	2	0
21	178	2	2	0
21	181	2	2	0
21	183	2	2	0
21	184	2	2	0
21	187	2	2	0
21	188	2	2	0
21	192	2	2	0
21	194	2	2	0
21	197	2	2	0
21	198	2	2	0
21	200	2	2	0
21	203	2	2	0
21	205	2	2	0
21	211	2	2	0
21	219	2	2	0
21	223	2	2	0
21	225	2	2	0
26	22	2	7	0
32	22	2	4	0
34	22	2	6	0
39	22	2	1	0
43	22	2	4	0
46	22	2	5	0
50	22	2	10	0
52	22	2	7	0
57	22	2	4	0
60	22	2	2	0
61	22	2	2	0
62	22	2	3	0
63	22	2	3	0
66	22	2	2	0
68	22	2	2	0
71	22	2	1	0
72	22	2	12	0
74	22	2	13	0
78	22	2	4	0
79	22	2	2	0
81	22	2	1	0
82	22	2	3	0
84	22	2	5	0
87	22	2	2	0
90	22	2	2	0
91	22	2	1	0
93	22	2	4	0
94	22	2	5	0
95	22	2	3	0
96	22	2	4	0
97	22	2	7	0
106	22	2	2	0
107	22	2	5	0
110	22	2	4	0
113	22	2	9	0
115	22	2	4	0
120	22	2	5	0
126	22	2	4	0
131	22	2	8	0
22	133	2	17	0
135	22	2	1	0
138	22	2	6	0
146	22	2	6	0
147	22	2	1	0
148	22	2	10	0
150	22	2	1	0
154	22	2	1	0
157	22	2	6	0
158	22	2	1	0
159	22	2	8	0
160	22	2	5	0
164	22	2	4	0
173	22	2	10	0
174	22	2	7	0
22	176	2	17	0
185	22	2	4	0
186	22	2	7	0
189	22	2	9	0
190	22	2	13	0
204	22	2	2	0
206	22	2	4	0
207	22	2	5	0
217	22	2	8	0
220	22	2	3	0
222	22	2	7	0
224	22	2	2	0
23	27	2	4	0
30	23	2	1	0
23	31	2	4	0
23	33	2	4	0
44	23	2	3	0
47	23	2	3	0
23	51	2	4	0
23	64	2	4	0
23	65	2	4	0
77	23	2	1	0
23	85	2	4	0
23	86	2	4	0
23	92	2	4	0
101	23	2	1	0
109	23	2	3	0
