#src_id	dest_id	edge_type	number_common_taxa	percent_common_taxa
22	13	2	1	0
45	13	2	1	0
69	13	2	1	0
78	13	2	1	0
103	13	2	2	0
105	13	2	2	0
106	13	2	1	0
109	13	2	1	0
114	13	2	2	0
128	13	2	1	0
134	13	2	2	0
137	13	2	2	0
14	17	2	3	0
14	23	2	3	0
14	25	2	3	0
14	27	2	3	0
14	28	2	3	0
14	30	2	3	0
14	33	2	3	0
36	14	2	2	0
14	37	2	3	0
14	44	2	3	0
14	47	2	3	0
14	48	2	3	0
14	52	2	3	0
56	14	2	1	0
14	57	2	3	0
14	79	2	3	0
14	86	2	3	0
14	90	2	3	0
14	92	2	3	0
14	93	2	3	0
116	14	2	2	0
16	15	2	2	0
20	15	2	3	0
22	15	2	1	0
40	15	2	1	0
45	15	2	1	0
56	15	2	1	0
69	15	2	1	0
78	15	2	1	0
80	15	2	2	0
103	15	2	2	0
109	15	2	1	0
133	15	2	1	0
134	15	2	2	0
136	15	2	1	0
137	15	2	2	0
139	15	2	1	0
16	18	2	2	0
16	21	2	2	0
16	61	2	2	0
16	63	2	2	0
16	65	2	2	0
16	79	2	2	0
16	85	2	2	0
16	87	2	2	0
16	90	2	2	0
20	17	2	3	0
22	17	2	1	0
25	17	2	11	0
27	17	2	11	0
29	17	2	7	0
33	17	2	11	0
34	17	2	3	0
36	17	2	2	0
37	17	2	14	0
40	17	2	1	0
41	17	2	5	0
42	17	2	2	0
44	17	2	13	0
45	17	2	1	0
47	17	2	14	0
48	17	2	6	0
49	17	2	8	0
50	17	2	1	0
51	17	2	7	0
52	17	2	10	0
53	17	2	8	0
54	17	2	2	0
55	17	2	1	0
56	17	2	1	0
57	17	2	7	0
58	17	2	8	0
59	17	2	7	0
60	17	2	3	0
64	17	2	5	0
69	17	2	1	0
73	17	2	1	0
78	17	2	1	0
80	17	2	2	0
82	17	2	1	0
86	17	2	4	0
88	17	2	7	0
89	17	2	12	0
92	17	2	12	0
93	17	2	6	0
94	17	2	4	0
95	17	2	2	0
96	17	2	5	0
97	17	2	6	0
98	17	2	4	0
101	17	2	3	0
103	17	2	2	0
106	17	2	1	0
109	17	2	1	0
110	17	2	2	0
113	17	2	5	0
114	17	2	2	0
115	17	2	3	0
116	17	2	2	0
117	17	2	2	0
119	17	2	2	0
120	17	2	5	0
122	17	2	2	0
126	17	2	7	0
127	17	2	6	0
128	17	2	1	0
129	17	2	4	0
130	17	2	6	0
131	17	2	5	0
132	17	2	6	0
133	17	2	1	0
134	17	2	2	0
135	17	2	3	0
136	17	2	1	0
137	17	2	2	0
138	17	2	3	0
139	17	2	1	0
140	17	2	3	0
19	18	2	4	0
20	18	2	3	0
21	18	2	7	0
22	18	2	1	0
45	18	2	1	0
69	18	2	1	0
78	18	2	1	0
103	18	2	2	0
109	18	2	1	0
134	18	2	2	0
137	18	2	2	0
19	21	2	4	0
22	20	2	1	0
20	23	2	3	0
20	24	2	3	0
20	26	2	3	0
20	28	2	3	0
20	35	2	3	0
45	20	2	1	0
20	46	2	3	0
20	67	2	3	0
69	20	2	1	0
78	20	2	1	0
103	20	2	2	0
20	104	2	3	0
109	20	2	1	0
134	20	2	2	0
137	20	2	2	0
45	21	2	1	0
69	21	2	1	0
103	21	2	2	0
109	21	2	1	0
134	21	2	2	0
137	21	2	2	0
22	23	2	1	0
22	24	2	1	0
22	26	2	1	0
22	28	2	1	0
22	31	2	1	0
22	35	2	1	0
22	43	2	1	0
22	46	2	1	0
22	67	2	1	0
22	68	2	1	0
22	71	2	1	0
22	72	2	1	0
22	74	2	1	0
22	75	2	1	0
22	80	2	1	0
22	81	2	1	0
22	91	2	1	0
22	104	2	1	0
22	107	2	1	0
22	111	2	1	0
22	117	2	1	0
22	124	2	1	0
22	130	2	1	0
24	23	2	9	0
25	23	2	11	0
26	23	2	6	0
27	23	2	11	0
29	23	2	7	0
33	23	2	11	0
34	23	2	3	0
36	23	2	2	0
38	23	2	9	0
39	23	2	1	0
40	23	2	1	0
41	23	2	5	0
42	23	2	2	0
45	23	2	1	0
49	23	2	8	0
50	23	2	1	0
51	23	2	7	0
54	23	2	2	0
55	23	2	1	0
56	23	2	1	0
58	23	2	8	0
59	23	2	7	0
60	23	2	3	0
69	23	2	1	0
73	23	2	1	0
78	23	2	1	0
80	23	2	2	0
86	23	2	4	0
94	23	2	4	0
95	23	2	2	0
97	23	2	6	0
98	23	2	4	0
103	23	2	2	0
109	23	2	1	0
110	23	2	2	0
115	23	2	3	0
116	23	2	2	0
117	23	2	2	0
119	23	2	2	0
120	23	2	5	0
122	23	2	2	0
131	23	2	5	0
132	23	2	6	0
133	23	2	1	0
134	23	2	2	0
135	23	2	3	0
136	23	2	1	0
137	23	2	2	0
138	23	2	3	0
139	23	2	1	0
140	23	2	3	0
26	24	2	6	0
24	28	2	9	0
24	35	2	9	0
39	24	2	1	0
40	24	2	1	0
45	24	2	1	0
24	46	2	9	0
55	24	2	1	0
69	24	2	1	0
73	24	2	1	0
78	24	2	1	0
80	24	2	2	0
103	24	2	2	0
109	24	2	1	0
117	24	2	2	0
133	24	2	1	0
134	24	2	2	0
136	24	2	1	0
137	24	2	2	0
139	24	2	1	0
29	25	2	7	0
25	30	2	11	0
34	25	2	3	0
36	25	2	2	0
41	25	2	5	0
42	25	2	2	0
25	44	2	11	0
25	47	2	11	0
49	25	2	8	0
50	25	2	1	0
51	25	2	7	0
56	25	2	1	0
58	25	2	8	0
59	25	2	7	0
60	25	2	3	0
25	79	2	11	0
86	25	2	4	0
94	25	2	4	0
95	25	2	2	0
97	25	2	6	0
98	25	2	4	0
110	25	2	2	0
115	25	2	3	0
116	25	2	2	0
119	25	2	2	0
120	25	2	5	0
122	25	2	2	0
135	25	2	3	0
138	25	2	3	0
26	28	2	6	0
26	35	2	6	0
39	26	2	1	0
40	26	2	1	0
45	26	2	1	0
26	46	2	6	0
55	26	2	1	0
69	26	2	1	0
73	26	2	1	0
78	26	2	1	0
80	26	2	2	0
103	26	2	2	0
109	26	2	1	0
133	26	2	1	0
134	26	2	2	0
136	26	2	1	0
137	26	2	2	0
139	26	2	1	0
29	27	2	7	0
27	30	2	11	0
34	27	2	3	0
36	27	2	2	0
41	27	2	5	0
42	27	2	2	0
27	44	2	11	0
27	47	2	11	0
49	27	2	8	0
50	27	2	1	0
51	27	2	7	0
56	27	2	1	0
58	27	2	8	0
59	27	2	7	0
60	27	2	3	0
27	79	2	11	0
86	27	2	4	0
94	27	2	4	0
95	27	2	2	0
97	27	2	6	0
98	27	2	4	0
110	27	2	2	0
115	27	2	3	0
116	27	2	2	0
119	27	2	2	0
120	27	2	5	0
122	27	2	2	0
135	27	2	3	0
138	27	2	3	0
31	28	2	6	0
32	28	2	12	0
34	28	2	3	0
35	28	2	28	0
36	28	2	2	0
37	28	2	14	0
39	28	2	1	0
40	28	2	1	0
43	28	2	17	0
45	28	2	1	0
46	28	2	15	0
48	28	2	6	0
50	28	2	1	0
52	28	2	10	0
53	28	2	8	0
54	28	2	2	0
55	28	2	1	0
56	28	2	1	0
57	28	2	7	0
62	28	2	20	0
64	28	2	5	0
66	28	2	14	0
69	28	2	1	0
71	28	2	6	0
72	28	2	6	0
73	28	2	1	0
74	28	2	5	0
76	28	2	4	0
78	28	2	1	0
80	28	2	2	0
82	28	2	1	0
83	28	2	2	0
84	28	2	2	0
86	28	2	4	0
91	28	2	5	0
93	28	2	6	0
96	28	2	5	0
99	28	2	8	0
100	28	2	4	0
101	28	2	3	0
102	28	2	7	0
103	28	2	2	0
105	28	2	2	0
106	28	2	1	0
107	28	2	11	0
108	28	2	3	0
109	28	2	1	0
113	28	2	5	0
114	28	2	2	0
115	28	2	3	0
116	28	2	2	0
117	28	2	2	0
118	28	2	2	0
121	28	2	8	0
122	28	2	2	0
125	28	2	6	0
128	28	2	1	0
129	28	2	4	0
130	28	2	6	0
133	28	2	1	0
134	28	2	2	0
136	28	2	1	0
137	28	2	2	0
139	28	2	1	0
29	30	2	7	0
29	38	2	7	0
41	29	2	5	0
42	29	2	2	0
29	44	2	7	0
29	47	2	7	0
29	49	2	7	0
29	58	2	7	0
60	29	2	3	0
29	79	2	7	0
94	29	2	4	0
95	29	2	2	0
97	29	2	6	0
98	29	2	4	0
110	29	2	2	0
119	29	2	2	0
120	29	2	5	0
135	29	2	3	0
138	29	2	3	0
32	30	2	12	0
33	30	2	11	0
34	30	2	3	0
36	30	2	2	0
37	30	2	14	0
38	30	2	9	0
39	30	2	1	0
40	30	2	1	0
41	30	2	5	0
42	30	2	2	0
44	30	2	13	0
45	30	2	1	0
47	30	2	14	0
48	30	2	6	0
49	30	2	8	0
50	30	2	1	0
51	30	2	7	0
52	30	2	10	0
53	30	2	8	0
54	30	2	2	0
55	30	2	1	0
56	30	2	1	0
57	30	2	7	0
58	30	2	8	0
59	30	2	7	0
60	30	2	3	0
69	30	2	1	0
73	30	2	1	0
86	30	2	4	0
88	30	2	7	0
89	30	2	12	0
92	30	2	12	0
93	30	2	6	0
94	30	2	4	0
95	30	2	2	0
96	30	2	5	0
97	30	2	6	0
98	30	2	4	0
101	30	2	3	0
103	30	2	2	0
106	30	2	1	0
109	30	2	1	0
110	30	2	2	0
113	30	2	5	0
114	30	2	2	0
115	30	2	3	0
116	30	2	2	0
119	30	2	2	0
120	30	2	5	0
122	30	2	2	0
126	30	2	7	0
